Tweet ID,Tweet URL,Tweet Type,Media Type,Media URL,Media Alt Text
1589314314191523840,https://twitter.com/SBF_FTX/status/1589314314191523840,Tweet,photo,https://pbs.twimg.com/media/Fg5fYLuWIAEdlea.png,
1589276454818570241,https://twitter.com/SBF_FTX/status/1589276454818570241,Tweet,photo,https://pbs.twimg.com/media/Fg4-cWpWYAA8vx_.png,
1589004664359440385,https://twitter.com/SBF_FTX/status/1589004664359440385,Reply,photo,https://pbs.twimg.com/media/Fg1HTl3XwAAAVph.png,
1588349245974667265,https://twitter.com/SBF_FTX/status/1588349245974667265,Reply,photo,https://pbs.twimg.com/media/Fgrv5AaWYAYSXZh.jpg,
1588294130819555335,https://twitter.com/SBF_FTX/status/1588294130819555335,Reply,photo,https://pbs.twimg.com/media/FgrBAyuXgAQ_MFL.jpg,
1588293784068132865,https://twitter.com/SBF_FTX/status/1588293784068132865,Quote,photo,https://pbs.twimg.com/media/FgrAuAyXEAE_jK5.jpg,
1588273481627865088,https://twitter.com/SBF_FTX/status/1588273481627865088,Tweet,photo,https://pbs.twimg.com/media/FgquBUXWYAEILek.jpg,
1587853333687144448,https://twitter.com/SBF_FTX/status/1587853333687144448,Tweet,photo,https://pbs.twimg.com/media/FgkwLUWWYAAC1oM.jpg,
1587441929981140992,https://twitter.com/SBF_FTX/status/1587441929981140992,Quote,photo,https://pbs.twimg.com/media/Fge5_3CXgAAZR24.png,
1587244593296310273,https://twitter.com/SBF_FTX/status/1587244593296310273,Tweet,photo,https://pbs.twimg.com/media/Fgb6KuvWQAAEywx.jpg,
1587244593296310273,https://twitter.com/SBF_FTX/status/1587244593296310273,Tweet,photo,https://pbs.twimg.com/media/FgcGJTvXgAAxmd7.jpg,
1587244593296310273,https://twitter.com/SBF_FTX/status/1587244593296310273,Tweet,photo,https://pbs.twimg.com/media/FgcGZVjX0AA8PXE.png,
1587080196292837376,https://twitter.com/SBF_FTX/status/1587080196292837376,Tweet,photo,https://pbs.twimg.com/media/FgZxAcbWQAAMCcf.jpg,
1586492326477799425,https://twitter.com/SBF_FTX/status/1586492326477799425,Reply,photo,https://pbs.twimg.com/media/FgRZFW4WAAAR3Zh.png,
1586492313022234625,https://twitter.com/SBF_FTX/status/1586492313022234625,Reply,photo,https://pbs.twimg.com/media/FgRW6hNXgAAc_yY.png,
1586492297902194688,https://twitter.com/SBF_FTX/status/1586492297902194688,Reply,photo,https://pbs.twimg.com/media/FgRUpRBXwAIC9gM.jpg,
1586492288707993601,https://twitter.com/SBF_FTX/status/1586492288707993601,Reply,photo,https://pbs.twimg.com/media/FgRXMzqXEAANPxk.jpg,
1585954693448192000,https://twitter.com/SBF_FTX/status/1585954693448192000,Tweet,photo,https://pbs.twimg.com/media/FgJxIU9WQAAcqTM.jpg,
1584882018558808066,https://twitter.com/SBF_FTX/status/1584882018558808066,Tweet,photo,https://pbs.twimg.com/media/Ff6hv88aYAIAjlS.png,
1584307365373177856,https://twitter.com/SBF_FTX/status/1584307365373177856,Quote,photo,https://pbs.twimg.com/media/FfyXCsoaAAALC4u.png,
1584095510318968833,https://twitter.com/SBF_FTX/status/1584095510318968833,Reply,video,https://video.twimg.com/ext_tw_video/1583149169086435328/pu/vid/1920x1080/5iM9rYcq90FL7O1c.mp4?tag=14,
1584078570707877888,https://twitter.com/SBF_FTX/status/1584078570707877888,Tweet,photo,https://pbs.twimg.com/media/FfvG6DvaEAAq-27.png,
1583456167094730752,https://twitter.com/SBF_FTX/status/1583456167094730752,Tweet,photo,https://pbs.twimg.com/media/FfmQ4C5WQAAz2qf.png,
1583162201636241410,https://twitter.com/SBF_FTX/status/1583162201636241410,Reply,photo,https://pbs.twimg.com/media/FfiFoRwWQA8-GlA.png,
1583161676525731840,https://twitter.com/SBF_FTX/status/1583161676525731840,Reply,photo,https://pbs.twimg.com/media/FfiDx2mXwA09fVs.png,
1583161668800245760,https://twitter.com/SBF_FTX/status/1583161668800245760,Reply,photo,https://pbs.twimg.com/media/FfiCE92XwBEnBgb.png,
1583161668800245760,https://twitter.com/SBF_FTX/status/1583161668800245760,Reply,photo,https://pbs.twimg.com/media/FfiCbBtXwCANLEO.jpg,
1583121358476939270,https://twitter.com/SBF_FTX/status/1583121358476939270,Tweet,photo,https://pbs.twimg.com/media/Ffhgc08XwAAOClV.jpg,
1582037858222673921,https://twitter.com/SBF_FTX/status/1582037858222673921,Tweet,photo,https://pbs.twimg.com/media/FfSHA-hWIAEGUc5.jpg,
1580170229430513666,https://twitter.com/SBF_FTX/status/1580170229430513666,Reply,photo,https://pbs.twimg.com/media/Fe3f6Q1WYAM9SRT.png,
1580170203664904195,https://twitter.com/SBF_FTX/status/1580170203664904195,Tweet,photo,https://pbs.twimg.com/media/Fe3bCefWAAAo6fr.jpg,
1579600794466529280,https://twitter.com/SBF_FTX/status/1579600794466529280,Reply,photo,https://pbs.twimg.com/media/FevbbvNX0AIlsJJ.jpg,
1579504364338958337,https://twitter.com/SBF_FTX/status/1579504364338958337,Tweet,photo,https://pbs.twimg.com/media/FeuG08DWIAcN68i.jpg,
1576953478026391557,https://twitter.com/SBF_FTX/status/1576953478026391557,Tweet,photo,https://pbs.twimg.com/media/FeJ2CWSXwAIZy3t.jpg,
1574485552182792192,https://twitter.com/SBF_FTX/status/1574485552182792192,Tweet,photo,https://pbs.twimg.com/media/FdmyM6FXEAAmHOJ.jpg,
1574208776361721856,https://twitter.com/SBF_FTX/status/1574208776361721856,Tweet,photo,https://pbs.twimg.com/media/Fdi2euOWQAAiAQJ.jpg,
1572680452049367040,https://twitter.com/SBF_FTX/status/1572680452049367040,Reply,video,https://video.twimg.com/ext_tw_video/1572680351864033283/pu/pl/fnO5ELRaMDpJ3Wys.m3u8?tag=12&container=fmp4,
